              Procedure           Image            Address        Calls Instructions
PyFortranObject_NewAsAttr _slsqp.x86_64-linux-gnu.so       7fca53d4c0a0            1           20
             init_slsqp _slsqp.x86_64-linux-gnu.so       7fca53d4b4a0            1           91
                  .text _slsqp.x86_64-linux-gnu.so       7fca53d4a1a0            0           17
   PyModule_GetDict@plt _slsqp.x86_64-linux-gnu.so       7fca53d4a110            1            1
      _PyObject_New@plt _slsqp.x86_64-linux-gnu.so       7fca53d4a0a0            1            1
PyCObject_AsVoidPtr@plt _slsqp.x86_64-linux-gnu.so       7fca53d4a090            1            1
         PyDict_New@plt _slsqp.x86_64-linux-gnu.so       7fca53d4a060            1            1
PyFortranObject_NewAsAttr@plt _slsqp.x86_64-linux-gnu.so       7fca53d4a010            1            1
PyImport_ImportModule@plt _slsqp.x86_64-linux-gnu.so       7fca53d49fe0            1            1
     PyErr_Occurred@plt _slsqp.x86_64-linux-gnu.so       7fca53d49fd0            1            1
PyString_FromString@plt _slsqp.x86_64-linux-gnu.so       7fca53d49f90            2            2
 PyErr_NewException@plt _slsqp.x86_64-linux-gnu.so       7fca53d49f60            1            1
PyObject_GetAttrString@plt _slsqp.x86_64-linux-gnu.so       7fca53d49e50            1            1
  Py_InitModule4_64@plt _slsqp.x86_64-linux-gnu.so       7fca53d49e40            1            1
PyDict_SetItemString@plt _slsqp.x86_64-linux-gnu.so       7fca53d49db0            3            3
                  _init _slsqp.x86_64-linux-gnu.so       7fca53d49d48            1            6
PyFortranObject_NewAsAttr _cobyla.x86_64-linux-gnu.so       7fca541a1380            1           20
            init_cobyla _cobyla.x86_64-linux-gnu.so       7fca541a0770            1           92
                  .text _cobyla.x86_64-linux-gnu.so       7fca5419f340            0           17
   PyModule_GetDict@plt _cobyla.x86_64-linux-gnu.so       7fca5419f2a0            1            1
      _PyObject_New@plt _cobyla.x86_64-linux-gnu.so       7fca5419f230            1            1
PyCObject_AsVoidPtr@plt _cobyla.x86_64-linux-gnu.so       7fca5419f220            1            1
         PyDict_New@plt _cobyla.x86_64-linux-gnu.so       7fca5419f1f0            1            1
PyFortranObject_NewAsAttr@plt _cobyla.x86_64-linux-gnu.so       7fca5419f1c0            1            1
